t,S,Sym,Power,Elite
1.106106106106106246e+01,7.412743212161981843e-02,2.600537338660098216e-02,4.023932940080822140e-01,1.147008394935103537e+00
1.111111111111111249e+01,7.454375500334782523e-02,2.602777003353681090e-02,4.007391971471047643e-01,1.147720472939315783e+00
1.116116116116116252e+01,7.496241608480687380e-02,2.605018596917066040e-02,3.990918996947313557e-01,1.148432993010984671e+00
1.121121121121121256e+01,7.538342849805916568e-02,2.607262121011455144e-02,3.974513737009921499e-01,1.149145955424551779e+00
1.126126126126126259e+01,7.580680544892073880e-02,2.609507577299483363e-02,3.958175913308097926e-01,1.149859360454628776e+00
1.131131131131131262e+01,7.623256021737552512e-02,2.611754967445216805e-02,3.941905248635271808e-01,1.150573208375997858e+00
1.136136136136136265e+01,7.666070615799207288e-02,2.614004293114154109e-02,3.925701466924368388e-01,1.151287499463611752e+00
1.141141141141141269e+01,7.709125670034236433e-02,2.616255555973228883e-02,3.909564293243129596e-01,1.152002233992593938e+00
1.146146146146146272e+01,7.752422534942303434e-02,2.618508757690810387e-02,3.893493453789445558e-01,1.152717412238238648e+00
1.151151151151151275e+01,7.795962568607908705e-02,2.620763899936705277e-02,3.877488675886709979e-01,1.153433034476011088e+00
1.156156156156156278e+01,7.839747136742972189e-02,2.623020984382156903e-02,3.861549687979194956e-01,1.154149100981547660e+00
1.161161161161161282e+01,7.883777612729681028e-02,2.625280012699848786e-02,3.845676219627442438e-01,1.154865612030655297e+00
1.166166166166166285e+01,7.928055377663571768e-02,2.627540986563905653e-02,3.829868001503674013e-01,1.155582567899312796e+00
1.171171171171171288e+01,7.972581820396844321e-02,2.629803907649892400e-02,3.814124765387224003e-01,1.156299968863669925e+00
1.176176176176176291e+01,8.017358337581921568e-02,2.632068777634818599e-02,3.798446244159987550e-01,1.157017815200047872e+00
1.181181181181181294e+01,8.062386333715279574e-02,2.634335598197137460e-02,3.782832171801886467e-01,1.157736107184939911e+00
1.186186186186186298e+01,8.107667221181463768e-02,2.636604371016746870e-02,3.767282283386359509e-01,1.158454845095010066e+00
1.191191191191191301e+01,8.153202420297434028e-02,2.638875097774992864e-02,3.751796315075862642e-01,1.159174029207094891e+00
1.196196196196196304e+01,8.198993359357084620e-02,2.641147780154669278e-02,3.736374004117397618e-01,1.159893659798202359e+00
1.201201201201201307e+01,8.245041474676059745e-02,2.643422419840018092e-02,3.721015088838048324e-01,1.160613737145512747e+00
1.206206206206206311e+01,8.291348210636800831e-02,2.645699018516733600e-02,3.705719308640545440e-01,1.161334261526377976e+00
1.211211211211211314e+01,8.337915019733851962e-02,2.647977577871960322e-02,3.690486403998842202e-01,1.162055233218322492e+00
1.216216216216216317e+01,8.384743362619423435e-02,2.650258099594296132e-02,3.675316116453712922e-01,1.162776652499043051e+00
1.221221221221221320e+01,8.431834708149207880e-02,2.652540585373793641e-02,3.660208188608364277e-01,1.163498519646408491e+00
1.226226226226226323e+01,8.479190533428450360e-02,2.654825036901961588e-02,3.645162364124074350e-01,1.164220834938460625e+00
1.231231231231231327e+01,8.526812323858279363e-02,2.657111455871763103e-02,3.630178387715834454e-01,1.164943598653413348e+00
1.236236236236236330e+01,8.574701573182300085e-02,2.659399843977622302e-02,3.615256005148027030e-01,1.165666811069653530e+00
1.241241241241241333e+01,8.622859783533459721e-02,2.661690202915420120e-02,3.600394963230103551e-01,1.166390472465741235e+00
