timestamp,X,Y,Z
1788345343117,0.220140,6.295516,7.724031
1788345343125,0.217747,6.297909,7.721639
1788345343134,0.267996,6.269196,7.678568
1788345343142,0.284746,6.218946,7.606783
1788345343151,0.272782,6.204589,7.649854
1788345343159,0.155533,6.273981,7.795816
1788345343167,0.177069,6.324230,7.934600
1788345343176,0.265603,6.302695,7.879565
1788345343184,0.287139,6.276374,7.786245
1788345343193,0.241675,6.331409,7.666604
1788345343201,0.160319,6.350551,7.633104
1788345343209,0.155533,6.333802,7.637890
1788345343218,0.191426,6.293124,7.721639
1788345343226,0.248854,6.266802,7.800602
1788345343235,0.275175,6.250053,7.836494
1788345343243,0.267996,6.264410,7.831708
1788345343252,0.270389,6.254838,7.762317
1788345343260,0.244068,6.264410,7.731210
1788345343268,0.220140,6.300302,7.668997
1788345343277,0.191426,6.317052,7.673782
1788345343285,0.181855,6.309873,7.635497
1788345343294,0.224925,6.317052,7.704889
1788345343302,0.220140,6.302695,7.714460
1788345343310,0.246461,6.278767,7.817351
1788345343319,0.256032,6.269196,7.802995
1788345343327,0.248854,6.276374,7.810173
1788345343336,0.224925,6.278767,7.747960
1788345343344,0.215354,6.276374,7.738389
1788345343352,0.244068,6.295516,7.731210
1788345343361,0.239282,6.281159,7.757531
1788345343369,0.251246,6.295516,7.755138
1788345343378,0.241675,6.276374,7.755138
1788345343386,0.232104,6.293124,7.714460
1788345343394,0.234497,6.271588,7.690532
1788345343403,0.227318,6.295516,7.700103
1788345343411,0.217747,6.269196,7.678568
1788345343420,0.217747,6.312266,7.728817
1788345343428,0.212961,6.288338,7.731210
1788345343436,0.234497,6.281159,7.791030
1788345343445,0.224925,6.257231,7.745567
1788345343453,0.232104,6.269196,7.783852
1788345343462,0.236889,6.281159,7.733603
1788345343470,0.232104,6.273981,7.764709
1788345343479,0.239282,6.278767,7.716853
1788345343487,0.234497,6.276374,7.719246
1788345343495,0.224925,6.278767,7.664211
1788345343504,0.227318,6.288338,7.668997
1788345343512,0.229711,6.307480,7.707282
1788345343521,0.234497,6.295516,7.764709
1788345343529,0.253639,6.295516,7.817351
1788345343537,0.275175,6.266802,7.783852
1788345343546,0.263211,6.285945,7.774281
1788345343554,0.248854,6.262017,7.712068
1788345343563,0.246461,6.285945,7.757531
1788345343571,0.253639,6.271588,7.721639
1788345343579,0.277567,6.293124,7.771888
1788345343588,0.248854,6.262017,7.781459
1788345343596,0.248854,6.273981,7.822137
1788345343605,0.248854,6.259624,7.788638
1788345343613,0.212961,6.273981,7.740781
1788345343621,0.217747,6.281159,7.671390
1788345343630,0.205783,6.300302,7.657032
1788345343638,0.222533,6.290731,7.668997
1788345343647,0.256032,6.269196,7.743174
1788345343655,0.272782,6.276374,7.831708
1788345343663,0.279960,6.245267,7.812566
1788345343672,0.260818,6.269196,7.786245
1788345343680,0.246461,6.262017,7.719246
1788345343689,0.227318,6.295516,7.680961
1788345343697,0.227318,6.295516,7.668997
1788345343706,0.246461,6.295516,7.731210
1788345343714,0.251246,6.278767,7.774281
1788345343722,0.263211,6.285945,7.807780
1788345343731,0.248854,6.264410,7.762317
1788345343739,0.220140,6.264410,7.728817
1788345343748,0.232104,6.276374,7.714460
1788345343756,0.229711,6.285945,7.726424
1788345343764,0.244068,6.285945,7.728817
1788345343773,0.260818,6.288338,7.735996
1788345343781,0.275175,6.285945,7.755138
1788345343790,0.267996,6.276374,7.740781
1788345343798,0.251246,6.281159,7.762317
1788345343806,0.227318,6.276374,7.719246
1788345343815,0.234497,6.290731,7.735996
1788345343823,0.227318,6.278767,7.724031
