timestamp,X,Y,Z
1788345329095,-22.518751,-21.693750,-24.075001
1788345329115,-19.556252,-20.156250,-25.800001
1788345329135,-20.493752,-22.031250,-26.006250
1788345329155,-20.587502,-22.518751,-26.737501
1788345329175,-20.156250,-20.156250,-24.281252
1788345329195,-19.650002,-21.656250,-25.706251
1788345329215,-19.181252,-20.587502,-26.381250
1788345329235,-21.300001,-21.731251,-23.437500
1788345329255,-22.968750,-19.462502,-23.475000
1788345329275,-20.100000,-17.793751,-25.368752
1788345329295,-18.768751,-20.081251,-25.031252
1788345329315,-20.737501,-20.812500,-24.412500
1788345329335,-20.456251,-21.712502,-24.956251
1788345329355,-21.281250,-21.750000,-24.506250
1788345329375,-20.362501,-18.993752,-24.525002
1788345329395,-20.118752,-20.212502,-26.118752
1788345329415,-20.775002,-20.793751,-23.325001
1788345329435,-20.718750,-19.200001,-25.443750
1788345329455,-20.193750,-21.112501,-25.912500
1788345329475,-22.200001,-20.775002,-24.300001
1788345329495,-20.681252,-20.925001,-23.475000
1788345329515,-19.350000,-20.100000,-24.581251
1788345329535,-20.812500,-19.462502,-24.337502
1788345329555,-18.843750,-19.931252,-25.181252
1788345329575,-20.193750,-21.112501,-25.912500
1788345329595,-19.725000,-21.281250,-28.200001
1788345329615,-19.875000,-16.725000,-25.443750
1788345329635,-21.056252,-19.837502,-26.025002
1788345329655,-18.206251,-20.587502,-28.968752
1788345329675,-19.668751,-21.018751,-24.056252
1788345329695,-20.756250,-20.193750,-23.531250
1788345329715,-18.600000,-19.950001,-26.250002
1788345329735,-21.843750,-22.237501,-24.018751
1788345329755,-19.500000,-19.837502,-25.368752
1788345329775,-18.618752,-19.931252,-25.500002
1788345329795,-20.512501,-23.081251,-25.631250
1788345329815,-21.000000,-20.812500,-23.343750
1788345329835,-19.387501,-20.625000,-27.150002
1788345329855,-19.387501,-21.112501,-22.818750
1788345329875,-19.218750,-21.412500,-23.250000
1788345329895,-17.925001,-19.087502,-24.150002
1788345329915,-17.662500,-20.568750,-24.337502
1788345329935,-17.081251,-20.943750,-23.850000
1788345329955,-17.775002,-20.512501,-27.581251
1788345329975,-16.293751,-19.968750,-28.200001
1788345329995,-17.081251,-19.631250,-29.943750
1788345330015,-19.087502,-21.600000,-24.918751
1788345330035,-20.737501,-23.700001,-26.043751
1788345330055,-17.775002,-20.512501,-27.581251
1788345330075,-17.250000,-19.762501,-29.006250
1788345330095,-21.206251,-20.437500,-25.518751
1788345330115,-22.368752,-21.281250,-25.950001
1788345330135,-19.837502,-18.843750,-25.912500
1788345330155,-18.993752,-19.237501,-26.775002
1788345330175,-21.768751,-19.068750,-23.475000
1788345330195,-18.056252,-20.475000,-25.293751
1788345330215,-19.968750,-20.737501,-23.625000
1788345330235,-22.012501,-21.937500,-23.587502
1788345330255,-19.800001,-18.937500,-24.506250
1788345330275,-18.450001,-20.193750,-25.162500
1788345330295,-19.818750,-19.968750,-23.362501
1788345330315,-18.918751,-21.468750,-26.156252
1788345330335,-19.837502,-22.368752,-23.812500
1788345330355,-21.393751,-19.500000,-23.587502
1788345330375,-19.593750,-21.768751,-24.318750
1788345330395,-22.068750,-22.856251,-24.150002
1788345330415,-19.537500,-17.962502,-22.575001
1788345330435,-18.881250,-20.287500,-27.018751
1788345330455,-20.418751,-22.856251,-23.175001
1788345330475,-20.381250,-18.956251,-23.456251
1788345330495,-19.293751,-20.850000,-24.525002
1788345330515,-20.362501,-21.862501,-25.406252
1788345330535,-22.350000,-21.356251,-23.175001
1788345330555,-20.887501,-20.381250,-24.431252
1788345330575,-20.793751,-20.700001,-25.800001
1788345330595,-21.750000,-22.612501,-21.843750
1788345330615,-21.093750,-20.643751,-22.893751
1788345330635,-19.106251,-19.068750,-25.875002
1788345330655,-19.818750,-22.837502,-24.243752
1788345330675,-20.081251,-20.306252,-24.431252
1788345330695,-21.206251,-21.281250,-23.456251
1788345330715,-19.200001,-18.918751,-25.575001
1788345330735,-19.612501,-21.093750,-26.662500
1788345330755,-21.543751,-21.918751,-24.356251
1788345330775,-20.568750,-21.918751,-26.943750
1788345330795,-20.568750,-21.918751,-26.625002
1788345330815,-20.118752,-21.506250,-24.037500
1788345330835,-20.175001,-20.137501,-23.512501
1788345330855,-18.618752,-19.312500,-25.068750
1788345330875,-20.475000,-21.075001,-23.606251
1788345330895,-22.350000,-21.356251,-23.175001
1788345330915,-19.668751,-19.125000,-25.875002
1788345330935,-18.787500,-17.550001,-25.968752
1788345330955,-18.937500,-19.368752,-25.837502
1788345330975,-19.593750,-21.150002,-23.887501
1788345330995,-19.687500,-17.456251,-25.068750
1788345331015,-18.393751,-21.356251,-24.000000
1788345331035,-19.612501,-22.125000,-26.137501
1788345331055,-20.643751,-21.356251,-28.218752
1788345331075,-19.781250,-21.825001,-25.856251
1788345331095,-21.675001,-22.706251,-25.368752
1788345331115,-20.418751,-22.181252,-26.156252
1788345331135,-20.643751,-20.362501,-24.431252
1788345331155,-18.581251,-19.368752,-26.906252
1788345331175,-20.981251,-23.700001,-24.975000
1788345331195,-21.112501,-19.781250,-23.718750
1788345331215,-21.712502,-21.018751,-23.493752
1788345331235,-21.543751,-22.312500,-27.243752
1788345331255,-20.737501,-22.650002,-26.118752
1788345331275,-22.312500,-23.493752,-24.712502
1788345331295,-20.531250,-19.500000,-26.493752
1788345331315,-19.125000,-21.506250,-26.925001
1788345331335,-20.625000,-22.893751,-24.262501
1788345331355,-20.418751,-21.187500,-22.837502
1788345331375,-21.093750,-18.150002,-24.750002
1788345331395,-21.618752,-20.756250,-25.050001
1788345331415,-19.350000,-21.150002,-24.187502
1788345331435,-20.175001,-21.187500,-23.137501
1788345331455,-21.562500,-22.743752,-21.225000
1788345331475,-22.331251,-19.556252,-22.987501
1788345331495,-21.450001,-19.012501,-22.087502
1788345331515,-20.006250,-19.350000,-27.881250
1788345331535,-20.925001,-21.918751,-25.875002
1788345331555,-21.056252,-21.731251,-24.187502
1788345331575,-21.487501,-19.350000,-23.456251
1788345331595,-21.037500,-19.856251,-27.093752
1788345331615,-19.350000,-20.100000,-24.581251
1788345331635,-20.850000,-19.987501,-26.925001
1788345331655,-18.318750,-21.862501,-26.268751
1788345331675,-20.475000,-21.693750,-24.487501
1788345331695,-22.575001,-20.775002,-22.912500
1788345331715,-18.975000,-18.881250,-24.956251
1788345331735,-20.118752,-20.868752,-22.856251
1788345331755,-21.431252,-19.387501,-25.293751
1788345331775,-19.762501,-20.868752,-23.925001
1788345331795,-20.981251,-20.193750,-23.231251
1788345331815,-20.306252,-21.543751,-25.106251
1788345331835,-19.612501,-21.093750,-26.981251
1788345331855,-21.937500,-19.200001,-22.237501
1788345331875,-20.043751,-20.962502,-26.381250
1788345331895,-20.306252,-19.462502,-25.875002
1788345331915,-20.625000,-21.000000,-26.081251
1788345331935,-19.500000,-20.268751,-24.881250
1788345331955,-21.281250,-21.750000,-24.206251
1788345331975,-19.875000,-19.837502,-24.300001
1788345331995,-18.750000,-21.750000,-26.137501
1788345332015,-22.856251,-21.731251,-24.093752
1788345332035,-21.450001,-21.637501,-25.143751
1788345332055,-22.256250,-24.018751,-22.068750
1788345332075,-23.062500,-21.150002,-24.600000
1788345332095,-19.893751,-16.706251,-24.675001
1788345332115,-20.718750,-20.231251,-25.368752
1788345332135,-20.493752,-22.668751,-27.187502
1788345332155,-21.450001,-20.418751,-24.450001
1788345332175,-19.068750,-19.162500,-23.718750
1788345332195,-19.218750,-20.306252,-27.018751
1788345332215,-20.906250,-19.912500,-24.018751
1788345332235,-21.487501,-17.868752,-24.318750
1788345332255,-19.162500,-21.450001,-25.087502
1788345332275,-19.162500,-21.450001,-25.087502
1788345332295,-22.181252,-21.225000,-24.112501
1788345332315,-20.625000,-18.956251,-22.687500
1788345332335,-19.818750,-22.162500,-26.906252
1788345332355,-19.050001,-21.637501,-26.775002
1788345332375,-20.925001,-21.918751,-26.175001
1788345332395,-19.050001,-21.637501,-26.775002
1788345332415,-19.968750,-21.956251,-24.468752
1788345332435,-20.006250,-23.943750,-25.706251
1788345332455,-20.231251,-21.693750,-25.256250
1788345332475,-22.237501,-23.006250,-23.212502
1788345332495,-20.925001,-21.300001,-25.293751
1788345332515,-22.875000,-21.712502,-23.325001
1788345332535,-21.937500,-22.087502,-23.418751
1788345332555,-21.618752,-18.900002,-23.325001
1788345332575,-20.118752,-20.212502,-26.118752
1788345332595,-18.318750,-21.862501,-26.268751
1788345332615,-19.387501,-20.700001,-24.075001
1788345332635,-19.218750,-19.931252,-24.112501
1788345332655,-21.487501,-22.837502,-24.900002
1788345332675,-19.668751,-18.506250,-25.612501
1788345332695,-21.562500,-21.243752,-26.700001
1788345332715,-19.293751,-21.206251,-26.812502
1788345332735,-21.900002,-23.775002,-25.312502
1788345332755,-21.243752,-22.837502,-25.668751
1788345332775,-21.881250,-21.768751,-22.837502
1788345332795,-18.581251,-19.593750,-24.431252
1788345332815,-19.781250,-22.443750,-26.737501
1788345332835,-19.293751,-22.068750,-25.368752
1788345332855,-19.687500,-20.568750,-23.943750
1788345332875,-19.893751,-22.087502,-24.300001
1788345332895,-21.787500,-22.537500,-23.850000
1788345332915,-20.100000,-19.237501,-23.737501
1788345332935,-17.756250,-21.393751,-26.906252
1788345332955,-17.568750,-21.750000,-24.112501
1788345332975,-20.775002,-21.768751,-26.343752
1788345332995,-20.268751,-21.637501,-23.100000
1788345333015,-20.400002,-21.225000,-23.906250
1788345333035,-17.006250,-20.643751,-23.868752
