timestamp,X,Y,Z
1788345237134,0.013744,0.052840,-0.004887
1788345237151,0.016493,0.054978,-0.002138
1788345237168,0.006414,0.038790,-0.001222
1788345237185,0.008247,0.043066,0.000305
1788345237201,0.018326,0.053756,0.002443
1788345237218,0.018021,0.044899,-0.002138
1788345237235,0.016493,0.034819,-0.003360
1788345237252,0.008552,0.029627,0.001222
1788345237269,0.005498,0.030543,0.008247
1788345237285,0.004887,0.030849,0.005803
1788345237302,-0.004276,0.038179,-0.000305
1788345237319,-0.000916,0.042761,-0.005803
1788345237336,-0.004276,0.061697,-0.004887
1788345237353,-0.018021,0.067806,-0.002443
1788345237369,0.001222,0.049480,0.007941
1788345237386,0.014355,0.029932,0.011301
1788345237403,0.021075,0.012828,0.015272
1788345237420,0.008858,0.013744,0.010690
1788345237437,0.007941,0.024435,0.002443
1788345237454,0.012828,0.046426,-0.003665
1788345237470,0.006109,0.055589,-0.007025
1788345237487,0.005192,0.047037,-0.007330
1788345237504,-0.001527,0.031154,0.001527
1788345237521,-0.004887,0.010385,0.002749
1788345237538,0.008247,0.040928,-0.000305
1788345237554,0.010385,0.045509,0.002749
1788345237571,-0.000305,0.026267,0.008858
1788345237588,-0.007636,0.037874,0.012217
1788345237605,0.023824,0.208610,0.016188
1788345237622,0.046426,0.089492,-0.006414
1788345237639,-0.041233,-0.043982,-0.032987
1788345237655,-0.038790,0.015882,-0.030849
1788345237672,-0.048258,-0.030543,-0.063835
1788345237689,-0.034819,-0.010385,-0.059254
1788345237706,-0.002138,-0.003665,-0.058032
1788345237723,0.021075,-0.001527,-0.025351
1788345237739,-0.004276,-0.040928,-0.013439
1788345237756,-0.005192,-0.034819,0.010079
1788345237773,0.011912,0.027794,0.027489
1788345237790,0.027794,0.038484,0.032987
1788345237807,0.018326,0.009774,0.028100
1788345237823,0.008858,-0.018631,0.009468
1788345237840,0.012217,0.008858,-0.012828
1788345237857,0.005498,0.019548,-0.032987
1788345237874,-0.022907,-0.021686,-0.044899
1788345237891,-0.023824,-0.018937,-0.019548
1788345237908,-0.010996,0.018631,-0.014661
1788345237924,-0.008247,0.019242,-0.010079
1788345237941,-0.009163,0.002443,-0.002749
1788345237958,-0.002749,-0.011606,0.005803
1788345237975,0.002749,-0.055894,0.019853
1788345237992,0.009774,-0.052840,0.008858
1788345238008,0.025656,-0.051313,-0.003665
1788345238025,0.012217,-0.052534,0.006109
1788345238042,-0.041233,-0.192422,-0.003971
1788345238059,-0.022602,-0.196698,0.003665
1788345238076,0.010079,-0.069028,0.002138
1788345238093,0.031460,0.014966,-0.004887
1788345238109,0.031460,0.021380,-0.003971
1788345238126,0.019548,-0.008247,-0.003665
1788345238143,0.012523,-0.002749,0.000305
1788345238160,0.001527,-0.038484,-0.003665
1788345238177,-0.025045,-0.076358,-0.003665
1788345238193,-0.021991,-0.055283,0.003054
1788345238210,-0.017715,-0.066890,-0.003971
1788345238227,-0.044899,-0.094073,-0.015577
1788345238244,-0.039401,-0.073609,-0.022907
1788345238261,-0.008858,0.008247,-0.019548
1788345238277,0.003360,0.042761,-0.013439
1788345238294,-0.002443,-0.000305,-0.010079
1788345238311,-0.007941,-0.018021,-0.002749
1788345238328,0.010079,0.018021,0.006720
1788345238345,0.018937,0.035736,0.014050
1788345238362,-0.000000,-0.004276,0.015272
1788345238378,-0.027489,-0.055894,0.007941
1788345238395,-0.026267,-0.045815,-0.002443
1788345238412,0.004887,-0.000305,-0.010079
1788345238471,0.012217,0.002596,0.005803
1788345238572,0.002138,0.046884,-0.008094
1788345238673,-0.014661,0.003971,0.005956
1788345238774,-0.005192,-0.016799,0.008399
1788345238875,0.052840,0.054520,-0.018021
1788345238976,-0.002749,-0.007483,0.011301
1788345239077,0.010232,0.014661,-0.001374
1788345239177,-0.000305,-0.003512,0.002749
1788345239278,0.000305,-0.007941,0.001833
1788345239379,-0.003360,-0.001069,0.005040
1788345239480,-0.012065,-0.025351,0.002291
1788345239581,0.008552,0.012675,-0.001833
1788345239682,-0.011606,-0.027183,0.001374
1788345239783,-0.021991,-0.048106,0.008247
1788345239884,0.005498,-0.000305,0.002596
1788345239985,-0.002749,0.001222,-0.031918
1788345240085,0.013134,0.008552,-0.020769
1788345240186,-0.004123,-0.015577,-0.009316
1788345240287,-0.007025,0.009468,-0.001069
1788345240388,-0.003360,0.003360,-0.010079
