timestamp,latitude,longitude,altitude,speed,course,hacc
1788345328000,59.948885,30.365413,38.103,0.000,0.000,13.309
1788345329000,59.948885,30.365413,37.933,0.000,0.000,13.113
1788345330000,59.948885,30.365413,38.013,0.000,0.000,11.765
1788345331000,59.948885,30.365413,38.639,0.000,0.000,11.664
1788345332000,59.948885,30.365413,38.617,0.000,0.000,11.762
1788345333000,59.948885,30.365413,38.690,0.000,0.000,11.625
1788345334000,59.948885,30.365413,38.695,0.000,0.000,11.771
1788345335000,59.948884,30.365413,39.025,0.000,0.000,11.031
1788345336000,59.948884,30.365413,38.975,0.000,0.000,11.201
1788345337000,59.948884,30.365413,39.060,0.000,0.000,11.274
1788345338000,59.948884,30.365413,38.955,0.000,0.000,11.255
1788345339000,59.948884,30.365413,39.012,0.000,0.000,11.512
1788345340000,59.948884,30.365413,39.007,0.000,0.000,11.761
1788345341000,59.948884,30.365414,39.023,0.000,0.000,11.497
1788345342000,59.948884,30.365414,39.505,0.000,0.000,11.581
1788345343000,59.948884,30.365414,39.502,0.000,0.000,11.444
1788345344000,59.948884,30.365414,39.460,0.000,0.000,11.497
1788345345000,59.948884,30.365414,39.443,0.000,0.000,11.542
1788345346000,59.948884,30.365415,39.431,0.000,0.000,10.846
1788345347000,59.948884,30.365415,39.405,0.000,0.000,10.850
1788345348000,59.948884,30.365415,39.413,0.000,0.000,10.773
1788345349000,59.948884,30.365415,39.401,0.000,0.000,10.972
1788345350000,59.948884,30.365415,39.395,0.000,0.000,10.889
1788345351000,59.948884,30.365415,39.380,0.000,0.000,11.110
1788345352000,59.948884,30.365415,39.308,0.000,0.000,10.658
1788345353000,59.948884,30.365415,39.296,0.000,0.000,10.715
1788345354000,59.948884,30.365415,40.333,0.000,0.000,10.749
1788345355000,59.948884,30.365415,40.266,0.000,0.000,10.830
1788345356000,59.948884,30.365415,40.251,0.000,0.000,11.042
1788345357000,59.948884,30.365415,40.220,0.000,0.000,11.079
1788345358000,59.948884,30.365414,40.159,0.000,0.000,10.559
1788345359000,59.948884,30.365414,40.130,0.000,0.000,11.039
1788345360000,59.948884,30.365414,40.069,0.000,0.000,11.485
1788345361000,59.948884,30.365414,40.040,0.000,0.000,11.228
1788345362000,59.948884,30.365414,40.052,0.000,0.000,11.606
