t,ext_stimulus,novelty,context,stress,opto_dopamine,opto_ach,opto_poa,sensory,mpoa_drive,dopamine,ach,nac_d1,nac_d2,pfc_control,mount,intromission,seg_ready,network_drive,threshold,refractory,event,phase
536,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.44359767888052387,0.43639780168753395,0.7895027703030335,0.3317082633314209,0.7823796418968746,1.0109075771554366,0.02894050002466369,0.0,0.1508104699347172,0.0,0.12947125581886607,0.9396020234695563,0.12710674421057805,0,arousal
537,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.43968899547011014,0.4835837304357592,0.8776749922440396,0.36582588098818797,0.9098448089669232,0.9292940085336492,0.0,0.005187927552028168,0.20581988692463657,0.02110322311523838,0.19031340623026222,0.9392528093052694,0.124216997001104,0,arousal
538,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.43915789955912726,0.5348755299008641,0.9733601468225592,0.4028209360037508,1.0500909182238432,0.8399321301283922,0.0,0.027364062844218794,0.2694338068418204,0.0828687755120033,0.26808611221124073,0.9389060396401325,0.12134747802209626,0,arousal
539,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.42083885079764904,0.588797834199475,1.0747867561767306,0.4412996065632328,1.2034581842146628,0.7425228102434165,0.0,0.06653112705222455,0.34397290600979663,0.184768019052814,0.3654711479899178,0.9385616973626516,0.11849804567594159,0,arousal
540,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.4249203712443429,0.6478395042758619,1.1851525784705448,0.48344356994363835,1.3710334757292508,0.6363981257958933,0.0,0.12315387287841664,0.43186338382502754,0.3273943515992437,0.4842301799202461,0.9382197654811131,0.11566855935621,0,arousal
541,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.42943338989171254,0.7123972746394929,1.3052862518987967,0.5295421423193158,1.5540106842243766,0.5208240964009883,0.0,0.19780435818811654,0.5354575480963906,0.5119510953567374,0.625595936858134,0.9378802271227452,0.11285887944071653,0,intromission
542,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.4306758123617973,0.782533528077889,1.4355773677572008,0.5795715904311742,1.6,0.39505667298296077,0.0,0.29109985252788884,0.6493370437397016,0.7310353822009393,0.7744152061669626,0.937543065532886,0.11006886728463151,0,pre_ejaculatory
543,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.4292056071426095,0.8583876612636223,1.5764652030938535,0.6335686817832176,1.6,0.2583362790367061,0.0,0.4037111000805918,0.7732728748268729,0.9827865989809653,0.9376326643165946,0.9372082640741558,1.0990619805561683,1,ejaculation
544,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.4283013462558237,0.7633430712448676,1.4849484705041767,0.5876504455654025,1.6,0.2581130862911098,0.0,0.39547780876574024,0.6181713270723128,0.6038295419255344,0.5899740053744484,1.0558874376667402,1.0893685466922751,0,refractory
545,0.65,0.18,0.55,0.05,0.0,0.0,0.0,0.42140389771948017,0.6657770233488862,1.3403783168145116,0.44484208566800776,1.6,0.2740862595618859,0.0,0.37052722489357426,0.6237753597477553,0.5101813952146814,0.514945980507786,1.054724225603073,1.0797429668654293,0,refractory
