t,mode,x,y,z,h,e,r,gate,drive,effective_input
0.2,white_dew,0.09783184946762788,-0.02199988945838144,-0.10846485800309849,0.22892345797025046,0.2618167396315243,0.012337746432432342,0.5232811755613513,0.538250930700071,0.538250930700071
0.21,white_dew,0.09761185057304407,-0.023084538038412424,-0.10864700241390002,0.23992801714614231,0.25814897345734455,0.012892749729750163,0.5177176880231048,0.5336857804363963,0.5336857804363963
0.22,white_dew,0.09738100519265995,-0.024171008062551423,-0.10880892850045945,0.2509260522401647,0.25452845369884136,0.013445140430090312,0.51222102564322,0.5291445271774546,0.5291445271774546
0.23,white_dew,0.09713929511203444,-0.025259097347556016,-0.1089506592297082,0.2619155862795643,0.25095489706720125,0.013994965554366993,0.5067922626887928,0.52462924047907,0.52462924047907
0.24,white_dew,0.09688670413855888,-0.0263486039398531,-0.10907222364911534,0.2728946593370736,0.24742800071654233,0.014542271963655717,0.5014323416826545,0.5201418902125317,0.5201418902125317
0.25,white_dew,0.09662321809916034,-0.02743932617634425,-0.10917365672677228,0.28386132845681367,0.24394744326325796,0.015087106269278797,0.49614207763706586,0.5156843452926109,0.5156843452926109
0.26,white_dew,0.0963488248373969,-0.028531062743611973,-0.10925499918556944,0.29481366756994093,0.24051288581250307,0.015629514748297543,0.49092216253028503,0.511258372912325,0.511258372912325
0.27,white_dew,0.09606351420996079,-0.029623612735467666,-0.10931629733202096,0.305749767404493,0.2371239729870261,0.01616954326449794,0.48577316998314973,0.5068656382570731,0.5068656382570731
0.28,white_dew,0.09576727808260611,-0.030716775708787877,-0.10935760288029411,0.3166677353935929,0.23378033395384581,0.016707237194917096,0.4806955600948075,0.5025077046686764,0.5025077046686764
0.29,white_dew,0.09546011032551824,-0.031810351737590815,-0.10937897277199937,0.32756569558585596,0.230481583444586,0.017242641361920795,0.4756896843989478,0.49818603422828944,0.49818603422828944
0.3,white_dew,0.09514200680814233,-0.03290414146531081,-0.1093804689922932,0.3384417885615202,0.22722732276560315,0.017775799970808182,0.4707557909042805,0.4939019887260568,0.4939019887260568
0.31,white_dew,0.09481296539348923,-0.033997946155233744,-0.10936215838284073,0.3492941713574906,0.22401714079437282,0.018306756552888208,0.46589402918552425,0.48965683098475105,0.48965683098475105
0.32,white_dew,0.09447298593193688,-0.03509156773906215,-0.10932411245217812,0.3601210174041563,0.22085061495893168,0.01883555391394383,0.4611044554937632,0.4854517265043956,0.4854517265043956
0.33,white_dew,0.09412207025454626,-0.03618480886358393,-0.10926640718400506,0.37092051647650853,0.21772731219750197,0.01936223408797425,0.4563870378576693,0.48128774539502617,0.48128774539502617
