t,mode,x,y,z,h,e,r,gate,drive,effective_input
5.03,activator_moderator,0.9211333753915724,0.6649246839690117,-0.04600466566728987,0.6727602309402685,0.09372385518166947,1.7578326728684703,0.28104750659611766,0.14841566616491644,0.14952002659492503
5.04,activator_moderator,0.9277826222312625,0.6644646373123388,-0.05131679645987407,0.6746292877813947,0.09399511547918644,1.7624207588076921,0.2813738870363143,0.14818777748921905,0.14928701316029286
5.05,activator_moderator,0.9344272686043859,0.6639514693477401,-0.05666496924019909,0.6763815125393557,0.09426852023383268,1.7670198548301814,0.28170310136875976,0.14795976876141623,0.14905389307721387
5.0600000000000005,activator_moderator,0.9410667832978633,0.6633848196553381,-0.06204916673416791,0.6780159482971437,0.09454406915780447,1.771629219364595,0.2820351551150353,0.14773168159113018,0.1488207088821043
5.07,activator_moderator,0.9477006314944166,0.6627643279879964,-0.06746936820438167,0.6795317186545873,0.09482176154779713,1.7762481091830316,0.2823700533252368,0.14750355754284428,0.14858750305345847
5.08,activator_moderator,0.9543282747742966,0.6620896343059526,-0.07292554936279,0.6809280281732517,0.09510159628567094,1.7808757796259176,0.28270780057670236,0.1472754381352295,0.14835431801121812
5.09,activator_moderator,0.9609491711173561,0.6613603788123247,-0.0784176822849018,0.6822041627475917,0.09538357183911923,1.7855114848174818,0.283048400972709,0.14704736484088726,0.14812119611657265
5.1000000000000005,activator_moderator,0.9675627749054794,0.6605762019894756,-0.08394573532550907,0.6833594899022216,0.09566768626233507,1.7901544778722802,0.2833918581411343,0.1468193790864595,0.1478881796721402
5.11,activator_moderator,0.9741685369253741,0.6597367446362206,-0.08950967303586932,0.6843934590152517,0.09595393719667333,1.7948040110932577,0.2837381752330784,0.14659152225305686,0.14765531092247872
5.12,activator_moderator,0.9807659043717363,0.6588416479058619,-0.09510945608228642,0.6853056014677191,0.09624232187130544,1.7994593361618465,0.28408735492144366,0.14636383567695566,0.14742263205487652
5.13,activator_moderator,0.9873543208507949,0.657890553345039,-0.10074504116602394,0.6860955307192272,0.09653283710386464,1.8041197043206136,0.2844393993994683,0.14613636065051477,0.14719018520037255
5.14,activator_moderator,0.9939332263842453,0.6568831029333787,-0.1064163809444802,0.6867629423099877,0.09682547930108006,1.808784366548984,0.28479431037921227,0.1459091384232646,0.14695801243495635
5.15,activator_moderator,1.000502057413579,0.6558189391239339,-0.1121234239535501,0.6873076137895403,0.09712024445939832,1.8134525737325735,0.28515208908999395,0.1456822102031196,0.14672615578089915
5.16,activator_moderator,1.0070602468048184,0.6546977048843984,-0.11786611453109497,0.6877294045725085,0.09741712816559195,1.8181235768266726,0.2855127362767754,0.14545561715766772,0.14649465720816734
5.17,activator_moderator,1.0136072238536624,0.6535190437390874,-0.12364439274143872,0.6880282557218285,0.09771612559735424,1.8227966270144287,0.28587625219849744,0.1452294004154912,0.1462635586358725
5.18,activator_moderator,1.0201424142910533,0.652282599811673,-0.12945819430080646,0.6882041896599672,0.09801723152388084,1.827470975860275,0.28624263662636307,0.1450036010674719,0.14603290193370902
5.19,activator_moderator,1.02666524028917,0.650988017868665,-0.13530745050361956,0.688257309808728,0.09832044030643851,1.8321458754591569,0.2866118888420709,0.14477826016803846,0.14580272892333693
